69	0 0 0 0 0 1249 1699 1052 0 
70	0 0 0 0 0 1238 1748 1014 0 
71	0 0 0 0 0 1248 1726 1026 0 
72	0 0 0 0 0 1251 1718 1031 0 
73	0 0 0 0 0 1280 1715 1005 0 
74	0 0 0 0 0 1242 1758 1000 0 
75	0 0 0 0 0 1252 1709 1039 0 
76	0 0 0 0 0 1252 1721 1027 0 
77	0 0 0 0 0 1205 1781 1014 0 
78	0 0 0 0 0 1252 1728 1020 0 
79	0 0 0 0 0 1276 1698 1026 0 
80	0 0 0 0 0 1247 1750 1003 0 
81	0 0 0 0 0 1257 1709 1034 0 
82	0 0 0 0 0 1255 1735 1010 0 
83	0 0 0 0 0 1179 1795 1026 0 
84	0 0 0 0 0 1226 1757 1017 0 
85	0 0 0 0 0 1211 1782 1007 0 
86	0 0 0 0 0 1301 1690 1009 0 
87	0 0 0 0 0 1220 1779 1001 0 
88	0 0 0 0 0 1274 1701 1025 0 
89	0 0 0 0 0 1202 1769 1029 0 
90	0 0 0 0 0 1210 1772 1018 0 
91	0 0 0 0 0 1204 1757 1039 0 
92	0 0 0 0 0 1189 1790 1021 0 
93	0 0 0 0 0 1246 1724 1030 0 
94	0 0 0 0 0 1220 1768 1012 0 
95	0 0 0 0 0 1316 1640 1044 0 
96	0 0 0 0 0 1246 1742 1012 0 
97	0 0 0 0 0 1304 1677 1019 0 
98	0 0 0 0 0 1204 1758 1038 0 
99	0 0 0 0 0 1262 1728 1010 0 
100	0 0 0 0 0 1204 1751 1045 0 
101	0 0 0 0 0 1234 1735 1031 0 
102	0 0 0 0 0 1245 1724 1031 0 
103	0 0 0 0 0 1242 1747 1011 0 
104	0 0 0 0 0 1263 1729 1008 0 
105	0 0 0 0 0 1266 1724 1010 0 
106	0 0 0 0 0 1285 1713 1002 0 
107	0 0 0 0 0 1221 1759 1020 0 
108	0 0 0 0 0 1239 1741 1020 0 
109	0 0 0 0 0 1259 1702 1039 0 
110	0 0 0 0 0 1231 1736 1033 0 
111	0 0 0 0 0 1243 1741 1016 0 
112	0 0 0 0 0 1217 1766 1017 0 
113	0 0 0 0 0 1275 1707 1018 0 
114	0 0 0 0 0 1250 1714 1036 0 
115	0 0 0 0 0 1233 1737 1030 0 
116	0 0 0 0 0 1243 1751 1006 0 
117	0 0 0 0 0 1238 1737 1025 0 
118	0 0 0 0 0 1217 1773 1010 0 
119	0 0 0 0 0 1239 1727 1034 0 
120	0 0 0 0 0 1213 1757 1030 0 
121	0 0 0 0 0 1286 1699 1015 0 
122	0 0 0 0 0 1257 1717 1026 0 
123	0 0 0 0 0 1234 1746 1020 0 
124	0 0 0 0 0 1256 1723 1021 0 
125	0 0 0 0 0 1200 1785 1015 0 
126	0 0 0 0 0 1248 1734 1018 0 
127	0 0 0 0 0 1307 1675 1018 0 
128	0 0 0 0 0 1260 1707 1033 0 
129	0 0 0 0 0 1233 1756 1011 0 
130	0 0 0 0 0 1190 1770 1040 0 
131	0 0 0 0 0 1245 1727 1028 0 
132	0 0 0 0 0 1269 1726 1005 0 
133	0 0 0 0 0 1256 1697 1047 0 
134	0 0 0 0 0 1228 1766 1006 0 
135	0 0 0 0 0 1181 1811 1008 0 
136	0 0 0 0 0 1240 1742 1018 0 
137	0 0 0 0 0 1244 1752 1004 0 
138	0 0 0 0 0 1212 1770 1018 0 
139	0 0 0 0 0 1261 1733 1006 0 
140	0 0 0 0 0 1248 1745 1007 0 
141	0 0 0 0 0 1248 1739 1013 0 
